[ESCENARIO]
Titulo;Capture the Bridge
Turnos;4
Norte;N
Despliega_primero;German
Mueve_primero;American
Descripcion;Infantry Training Scenario. As Americans moved into Germany in 1945, they encountered small pockets of fanatics intent on destroying infrastructure. The 101st rushes a bridge before it can be blown up. Only Squads, a Decoy, and an MG Weapon Team are used.
Victoria;The American player wins if at game end he controls the bridge hex (5E5) AND is the sole occupant of building hex 5B5.

[ALIADOS]
Faccion;American
Ops_rango;1-2
Puntos_comando;1
Ruta_huida;W
Despliegue_inicial;Turn 1: All Allied units enter the West edge of the map.
Despliegue_alternativo;

[EJE]
Faccion;German
Ops_rango;1-2
Puntos_comando;1
Ruta_huida;E
Despliegue_inicial;At start: in any hex East of the canal.
Despliegue_alternativo;The German player may secretly exchange his MG WT for a second Decoy. If he does so, the game length becomes THREE turns (the American player will not be aware of this until the second Decoy is revealed).

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;4;1
Paratrooper MG;wt_mg;NO;3;1;1

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
2nd Line;squad;NO;10;2;1
1st Line MG WT;wt_mg;NO;3;1;1
1st Line DECOY;decoy;NO;8;1;1

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_N;Lado_NE;Lado_SE;Lado_S;Lado_SW;Lado_NW;Col;Row
5G1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;6;9
5F9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;0
5F8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;1
5F7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;2
5F6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;3
5F5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;4
5F4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;5
5F3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;6
5F2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;7
5F1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;8
5F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;5;9
5E9;RIO / CANAL;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;1
5E8;RIO / CANAL;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;2
5E7;RIO / CANAL;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;3
5E6;RIO / CANAL;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;4
5E5;PUENTE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;5
5E4;RIO / CANAL;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;6
5E3;RIO / CANAL;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;7
5E2;RIO / CANAL;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;8
5E1;RIO / CANAL;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;4;9
5D9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;0
5D8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;1
5D7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;2
5D6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;3
5D5;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;4
5D4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;5
5D3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;6
5D2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;7
5D1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;8
5D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;3;9
5C9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;1
5C8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;2
5C7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;3
5C6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;4
5C5;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;5
5C4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;6
5C3;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;7
5C2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;8
5C1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;2;9
5B9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;0
5B8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;1
5B7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;2
5B6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;3
5B5;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;4
5B4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;5
5B3;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;6
5B2;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;7
5B1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;8
5B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;1;9
5A9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;1
5A8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;2
5A7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;3
5A6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;4
5A5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;5
5A4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;6
5A3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;7
5A2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;8
5A1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;0;9
