[ESCENARIO]
Titulo;The Orchard
Turnos;8
Norte;N
Despliega_primero;American
Mueve_primero;American
Descripcion;American paratroopers hold an orchard against a German counterattack. The road on board 9 from E1 to E9 is a dike road. All hexes on boards 6 and 2, and all hexes on board 9 on the dike road, are considered Orchards.
Victoria;The American player wins if there are no German units on board 6, board 2, or on or west of the dike road on board 9 at the end of the game.

[ALIADOS]
Faccion;American
Ops_rango;2-7
Puntos_comando;2
Ruta_huida;W
Despliegue_inicial;Company A (board 6, hex rows A-C): 3 Paratrooper Squads (full), 2 Paratrooper Squads (Reduced), 1 Paratrooper MG. Company C (board 9, on or west of the dike road): 6 Paratrooper Squads (full), 2 Paratrooper Squads (Reduced), 1 Paratrooper w/ Bazooka, 1 Paratrooper MG, 3 Paratrooper DECOY.
Despliegue_alternativo;

[EJE]
Faccion;German
Ops_rango;3-6
Puntos_comando;2
Ruta_huida;E
Despliegue_inicial;Board 2: 6 1st Line, 1 1st Line MG WT, 6 1st Line DECOY. Board 1: 9 1st Line, 1 1st Line MG WT, 1 1st Line DECOY.
Despliegue_alternativo;The German player may exchange 1 1st Line MG WT and 1 1st Line DECOY to add 2 additional 1st Line Squads in that group.

[UNIDADES_ALIADOS]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
Paratrooper Squad;squad;NO;16;9;1
Paratrooper Squad;squad;SI;16;4;1
Paratrooper w/ Bazooka;squad;NO;5;1;1
Paratrooper MG;wt_mg;NO;3;2;1
Paratrooper DECOY;decoy;NO;9;3;1

[UNIDADES_EJE]
Tipo;Categoria;Reducida;Fichas_max;Fichas_escenario;Turno_entrada
1st Line;squad;NO;20;15;1
1st Line MG WT;wt_mg;NO;3;2;1
1st Line DECOY;decoy;NO;8;7;1

[UNIDADES_NEUTRALES]
Tipo;Fichas_escenario;Turno_entrada;Prof;Acc

[MAPA]
Coordenada;Terreno;Elevacion;Upper_Level;Fortificacion;Lado_N;Lado_NE;Lado_SE;Lado_S;Lado_SW;Lado_NW;Col;Row
2C4;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;4
2C5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;5
2C6;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;6
2C7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;7
2C8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;8
2C9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;10;9
2D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;0
2D1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;1
2D2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;2
2D3;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;3
2D4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;4
2D5;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;5
2D6;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;6
2D7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;7
2D8;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;8
2D9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;11;9
2E1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;1
2E2;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;2
2E3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;3
2E4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;4
2E5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;5
2E6;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;6
2E7;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;7
2E8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;8
2E9;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;12;9
2F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;0
2F1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;1
2F2;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;2
2F3;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;3
2F4;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;4
2F5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;5
2F6;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;6
2F7;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;7
2F8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;8
2F9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;13;9
2G1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;14;1
2G2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;14;2
2G3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;14;3
2G4;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;14;4
2G5;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;14;5
2G6;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;14;6
2G7;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;14;7
2G8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;14;8
2G9;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;14;9
2H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;15;0
2H1;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;15;1
2H2;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;15;2
2H3;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;15;3
2H4;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;15;4
2H5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;15;5
2H6;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;15;6
2H7;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;15;7
2H8;BOSQUE;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;15;8
2H9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;15;9
2I1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;16;1
2I2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;16;2
2I3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;16;3
2I4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;16;4
2I5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;16;5
2I6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;16;6
2I7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;16;7
2I8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;16;8
2I9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;16;9
9B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;17;0
9B1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;17;1
9B2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;17;2
9B3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;17;3
9B4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;17;4
9B5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;17;5
9B6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;17;6
9B7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;17;7
9B8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;17;8
9B9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;17;9
9C1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;18;1
9C2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;18;2
9C3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;18;3
9C4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;18;4
9C5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;18;5
9C6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;18;6
9C7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;18;7
9C8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;18;8
9C9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;18;9
9D0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;19;0
9D1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;19;1
9D2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;19;2
9D3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;19;3
9D4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;19;4
9D5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;19;5
9D6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;19;6
9D7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;19;7
9D8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;19;8
9D9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;19;9
9E1;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;20;1
9E2;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;20;2
9E3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;20;3
9E4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;20;4
9E5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;20;5
9E6;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;20;6
9E7;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;20;7
9E8;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;20;8
9E9;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;20;9
9F0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;21;0
9F1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;21;1
9F2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;21;2
9F3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;21;3
9F4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;21;4
9F5;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;21;5
9F6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;21;6
9F7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;21;7
9F8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;21;8
9F9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;21;9
9G1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;22;1
9G2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;22;2
9G3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;22;3
9G4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;22;4
9G5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;22;5
9G6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;22;6
9G7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;22;7
9G8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;22;8
9G9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;22;9
9H0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;23;0
9H1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;23;1
9H2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;23;2
9H3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;23;3
9H4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;23;4
9H5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;23;5
9H6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;23;6
9H7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;23;7
9H8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;23;8
9H9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;23;9
9I1;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;24;1
9I2;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;24;2
9I3;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;24;3
9I4;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;24;4
9I5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;24;5
9I6;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;24;6
9I7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;24;7
9I8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;24;8
9I9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;24;9
1B0;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;25;0
1B1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;25;1
1B2;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;25;2
1B3;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;25;3
1B4;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;25;4
1B5;CARRETERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;25;5
1B6;EDIF. MADERA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;25;6
1B7;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;25;7
1B8;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;25;8
1B9;TERRENO ABIERTO;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;25;9
1C1;EDIF. PIEDRA;0;NO;NINGUNA;NO;NO;NO;NO;NO;NO;26;1
